"","suppression","slope_mean_link_identity","pvalue_link_identity_slope_diff_zero","slope_mean_link_log","pvalue_link_log_slope_diff_zero"
"1","to_unsuppressed","0.00434016066000189","0.0393420512606085","0.0045054910075036","0.000730282722222089"
"2","from_unsuppressed","-0.000154057040006408","0.831970960706468","0.000146412214240847","0.862849619303621"
