"","suppression","slope_mean_link_identity","pvalue_link_identity_slope_diff_zero","slope_mean_link_log","pvalue_link_log_slope_diff_zero"
"1",100,-0.000207773072004464,0.468331426066042,-0.000446971956627949,0.17583989252961
"2",400,-0.000188542579335797,0.47292244541559,-0.000418351277335291,0.15760805479595
"3",1000,0.000190750528625779,0.366109023373176,-1.9329140686169e-05,0.955748872607471
