"","threshold","sensitivity","specificity","PPV","NPV"
"1",1e-04,0.619047619047619,0.52258064516129,0.551515151515152,0.591240875912409
"2",0.001,0.663316582914573,0.679611650485437,0.8,0.510948905109489
"3",0.002,0.641592920353982,0.736842105263158,0.878787878787879,0.408759124087591
