"","id","interceptlink_identity","slope_link_identity","intercept_link_log","slope_link_log"
"1",11862881,0.930649983882837,-0.000465009829823417,0.229290399430623,-0.00102104657830845
"2",12258906,0.18934933311613,-3.21208410936624e-05,-1.53083110214506,-0.000273758945825409
"3",12266161,0.433012353802416,6.62540167083985e-05,-0.833421011015986,0.000140325092145239
"4",13190541,0.430538792074892,-0.000134608295648668,-0.318610082510003,-0.00075129233844781
"5",13338650,1.16779098309165,-0.00246719809684957,1.60744369089431,-0.00815883307347104
"6",14047154,-0.00745280027685922,0.000386222772180301,-2.47836851163405,0.00162632566758397
"7",14313256,0.456170762945634,5.22946970667989e-05,-0.775825632952506,9.94516076130464e-05
"8",15429249,0.127785043721522,2.98526673979906e-06,-2.06136906528836,2.8063623644724e-05
"9",16394115,-7.50979410530814,0.0109355572438222,-3.98543555188867,0.0047610911968812
"10",16400069,0.550386645882881,6.27800913009864e-06,-0.597132667060686,1.13830461609838e-05
"11",16901569,0.199728428487252,-4.08483187500136e-05,-1.59932673184418,-0.000237424869000337
"12",22432139,4.19930134547052,0.000434216935935724,1.44578104790882,8.87073468984218e-05
"13",24453648,0.0935327303127921,5.94206505325066e-05,-2.16733529259684,0.000311628899831863
"14",24507270,1.10661462584307,-0.000296203097489339,0.412630992674306,-0.000541580957816213
"15",26464992,1.30862100967376,-0.00024037626492974,0.473283718192558,-0.000327975939171986
"16",27137937,3.82498823790854,-0.00265830280002482,3.44996584735968,-0.00326092660430011
"17",28098225,10.7130389181464,-0.00179428899631593,4.40440463786351,-0.000763007526911851
"18",29648923,0.118104467777075,0.000191471002586808,-1.93410305846877,0.000782094357392969
"19",31546869,0.494486680539753,-0.000190398220512894,-0.696485588512324,-0.000452364320972827
"20",31610412,-0.531100567117109,0.00233683705363077,0.547946230620674,0.000448739803637374
"21",33557852,-0.0866840802379949,0.000184692392976566,-4.40451320087221,0.00204741766076886
"22",35047592,-0.00571903829954539,0.00187898852467999,-2.36165849543825,0.00441819585991545
"23",35164698,2.11636212785116,-0.00254188938960966,3.07488631068013,-0.00617324552354636
"24",36928362,0.747119222117675,-0.000313734367099612,-0.0638947222548,-0.000780223077287684
"25",37780152,0.957283982319048,-0.000553520187192114,0.617550412227138,-0.0015455489058315
"26",38139042,-0.0209645995984045,0.000546980941702491,-2.86595687583356,0.00311973063580543
"27",42786444,0.0824787548778288,0.00120136644305514,-1.89196989447234,0.00358590583195737
"28",44539911,-1.60715611805619,0.000516026713394732,-14.5996284981656,0.00371512056834706
"29",45313310,-0.00242133501539864,0.000136339839150712,-3.06025486075025,0.00103667652485937
"30",45874873,-1.47928068530907,0.00144421356302533,-3.671593228748,0.00219011919080425
"31",48995823,2.5547582599122,-1.81844330179918e-05,0.938508205423618,-7.44189455001136e-06
"32",49738337,0.137947934347639,8.10961644050116e-05,-1.93559035042266,0.000426862445751209
"33",49909607,0.00374037510839752,0.000735232035343111,-1.66677377250105,0.00139353405661626
"34",50481100,-0.620591575397801,0.000484620868094182,-3.3107267188536,0.00113612546128914
"35",53041631,1.35435123504839,0.0002484544102707,0.311844516610679,0.000160393595664671
"36",53345607,0.221569916226795,0.000282585365326596,-1.41999707519954,0.000804619773497651
"37",53373087,0.344560070845617,-0.000130086549463562,-0.858407044362294,-0.000680437290381874
"38",53373819,0.0259258650664201,0.000193007841131221,-2.43260573296807,0.000895990448584428
"39",55334832,0.292605397688541,-3.77291448291883e-05,-1.22240741575772,-0.000144330115918247
"40",59052630,1.30613127844654,0.00107088646646256,0.700107994766025,0.000272790427508955
"41",59098748,4.69841105804995,-0.0020853053270325,20.4527469752878,-0.0103700751826191
"42",59299617,1.23706734715469,-0.00126758512272595,1.08964631117977,-0.00306829352540655
"43",61678128,0.896586038496497,-0.000274742979661627,2.26644604654366,-0.00152959173487667
"44",61917106,1.49214578695933,-0.00161332736739458,0.841537445356707,-0.00249194786811933
"45",66671004,-2.0406655090203,0.000935076449682305,-3.02579540113805,0.000925670748028494
"46",66863786,0.550774830939435,-0.000423190858510729,-0.413511646934137,-0.00134847765561725
"47",70306023,1.32354464811818,-0.00233479694402682,1.8790748217419,-0.00719672696478055
"48",70875477,0.792727681196031,-0.000525646863577135,2.17774000658313,-0.00336442027610302
"49",72748497,3.23486478260681,-0.000371746721143377,1.17301204964669,-0.000121047819874187
"50",73272229,0.32617794016085,-9.43168178716021e-05,0.00455895080068824,-0.00100849297701847
"51",73913785,0.239933123001801,7.71120657888398e-05,-1.41902585626729,0.000279232659840465
"52",74931267,0.384389604386305,0.000102943862198971,-0.914550485854129,0.00019742885445157
"53",76529771,-0.0627404450841316,0.000173081532143552,-3.53226941792897,0.00133389283405035
"54",77505418,0.0287588185170082,0.00039339105074976,-2.09860632509008,0.00124814468890394
"55",78372016,-0.368288314765411,0.00669549570648478,-2.87472792728029,0.0153330493520183
"56",78504124,-7.03147642215002,0.00505037125291832,-13.2094254880167,0.00823313836165969
"57",78595879,0.227961803650765,2.48290752104101e-06,-1.47854255727876,1.08008370315367e-05
"58",80328794,0.0767929789007138,0.0013388489649261,-2.04763045769829,0.00477716353827294
"59",80515238,2.1886034663426,-0.00470371829528039,2.05934741891664,-0.00776653462082114
"60",80884119,0.580393274927346,9.42383193951372e-05,-0.53743971889862,0.000142332196586943
"61",81053724,-1.86184450163595,0.00492011649001693,-0.573248027856509,0.00167722468236186
"62",83481699,0.852846633886811,-0.00018005266316889,0.194375313357034,-0.000444305145182465
"63",83908543,-1.56843011292022,0.00267263054794608,-3.77985561291892,0.00381524459441628
